incident_id,incident_summary,resolving_article_ids,is_answerable,requires_multi_doc,resolution_status,source,capability_class,expected_sections,expected_page,requires_extractor
INC0010023,Cannot connect to VPN since password reset this morning,KB0001,true,false,Resolved,kb_incident,,,,
INC0010047,"Grinding noise from meeting room printer, queue is empty, mechanical fault",,false,false,Intentionally unanswerable,kb_incident,,,,
INC0010064,"No email, shared drive gone, and Teams repeatedly asking to sign in -- three symptoms one morning",KB0005,true,false,Resolved,kb_incident,,,,
INC0010052,"Order service returning 500s under load, pool saturation on dashboard",KB0010,true,false,Resolved,kb_incident,,,,
INC1006,"Outlook shows Disconnected, no mail since 08:00, webmail also down for whole floor",KB0002,true,false,Resolved,kb_incident,,,,
INC1007,New employee cannot see finance shared folder after onboarding,KB0020,true,false,Resolved,kb_incident,,,,
INC1008,External monitor flickers and drops signal intermittently at docking station,"KB0013,KB0021",true,true,Resolved,kb_incident,,,,
INC1009,SAP GUI times out with RFC_ERROR_COMMUNICATION from office network,KB0008,true,false,Resolved,kb_incident,,,,
INC1010,Wi-Fi keeps dropping on 5GHz while walking between floors 3 and 4,KB0009,true,false,Resolved,kb_incident,,,,
INC1011,User locked out and also cannot connect VPN after password change this morning,"KB0005,KB0001",true,true,Resolved,kb_incident,,,,
INC1012,"Lost phone, cannot approve MFA prompts for any system",KB0006,true,false,Resolved,kb_incident,,,,
INC1013,2FA codes never arrive via SMS during login,KB0023,true,false,Resolved,kb_incident,,,,
INC1014,Laptop battery drains from 100% to 20% in under two hours,KB0015,true,false,Resolved,kb_incident,,,,
INC1015,Please order me a second monitor for my desk,,false,false,Intentionally unanswerable,kb_incident,,,,
INC1016,When will my expense claim be paid this month,,false,false,Intentionally unanswerable,kb_incident,,,,
INC1017,Zoom shows no audio device during client call,,false,false,Intentionally unanswerable,kb_incident,,,,
INC1018,"Legacy timesheet portal login not working, need to submit hours",,false,false,Intentionally unanswerable,kb_incident,,,,
INC1019,Teams calls drop every 15 minutes while connected to VPN,KB0019,true,false,Resolved,kb_incident,,,,
INC1020,Shared mailbox for the support team no longer shows in Outlook folder list,KB0025,true,false,Resolved,kb_incident,,,,
INC1021,"New laptop VPN client installer fails halfway through, error code shown",KB0026,true,false,Resolved,kb_incident,,,,
INC1022,"Laptop screen stays black after closing and reopening the lid, requires hard reset",KB0024,true,false,Resolved,kb_incident,,,,
INC1023,"Print jobs stuck in queue on 3rd floor printer, no error shown on device",KB0004,true,false,Resolved,kb_incident,,,,
INC1024,Mapped H: drive missing after login but path works when typed manually,KB0003,true,false,Resolved,kb_incident,,,,
INC1025,Employee requests VPN access and email account setup on first day,"KB0001,KB0018",true,true,Resolved,kb_incident,,,,
INC1026,Docked laptop won't wake from sleep and external monitor also shows no signal,"KB0024,KB0021",true,true,Resolved,kb_incident,,,,
INC1027,New starter locked out on day one and also cannot see the finance shared folder,"KB0005,KB0020",true,true,Resolved,kb_incident,,,,
INC1028,SAP GUI still points to APPSRV-OLD-04 after the 2025 migration,KB0022,true,false,Resolved,kb_incident,,,,
STR-01,how many analysts cover Dubai out of hours and what are the hours,,true,false,Answerable only by reading the merged header of the coverage table on p8 as one header over four columns,manual_stressor,merged_header,2.1,8,true
STR-02,what time does the Cairo desk start on a Saturday and how many analysts are on,,true,false,Saturday row under the spanned CAIRO header of the p8 coverage table,manual_stressor,merged_header,2.1,8,true
STR-03,which priority states pause the SLA clock and who may set them,,true,false,On Hold and Pending Caller pause the clock; the p10 state table has a fifth WHO MAY SET IT column that a line-by-line reading loses,manual_stressor,table,3.3,10,true
STR-04,who owns the sap-erp service and in which window is it maintained,,true,false,The ownership cell of the p15 catalogue row carries a nested Owner/Group/Window table,manual_stressor,nested_table,5.2,15,true
